Region,Site.Number,Lab No.,CRA,Error,Material,Material ID,Source,Rejected Previously,Accepted Y/N
Northern,P05/371,NZ7311,250,50,Charcoal,"Beilschmiedia taraire - 2pc; Myrsine sp. [probably australis] - 1pc; Pseudopanax crasifolius - 5pc; Schefflera digitata - 2pc, Hebe sp. - 3pc; gynomsperm twig - 1pc, Dysoxylum spectabile - 6pc",Database,,Y
Northern,P05/402,NZ7254,250,50,Charcoal,"Leptospermum scoparium/ Kunzea ericoides - 90%, Cyathea dealbata, Carpodetus serratus, ? gymnosperm",Database,,Y
Northern,P05/402,NZ7250,330,60,Charcoal,Pteridophyte [probably Leptospermum scoparium)],Database,,Y
Northern,P05/408,NZ7330,407,60,Charcoal,"Leptospermum sp., unidentified anglosperm",Database,,Y
Northern,P05/958,Wk20300,242,35,Charcoal,Short lived species,Mallows 2007a,,Y
Northern,P05/958,Wk20301,160,35,Charcoal,Short lived species,Mallows 2007a,,Y
Northern,P05/958,Wk20302,212,35,Charcoal,Short lived species,Mallows 2007a,,Y
Northern,P06/82,Wk3919,220,50,Wood,Nut - Unspecified,Slocombe 2001,,Y
Northern,P06/82,Wk3920,220,40,Wood,Nut - Unspecified,Slocombe 2001,,Y
Central,P19/221,NZ6552,480,33,Charcoal,"Pseudopanax sp., Shefflera digitata, Hedycanya arborea minor; Paratropis sp. Macropiper exedsum",Database,,Y
Central,P19/221,NZ6555,203,32,Charcoal,Pseudopanax sp. Corynocarpus laevigatus; Paratrophis sp.,Database,,Y
Central,P19/26,NZ6563,263,28,Charcoal,Hebe sp.,Database,,Y
Central,P30/36,Wk18813,160,37,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18814,283,33,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18815,211,31,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18816,140,39,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18817,115,37,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18818,176,42,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18819,215,39,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/38,Wk18820,229,35,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/38,Wk18821,305,30,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18822,110,35,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18823,156,33,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18824,295,43,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18825,213,33,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/38,Wk18811,190,38,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/36,Wk18812,214,32,Charcoal,Short lived species,Habberfield-Short 2006a,,Y
Central,P30/5,NZ3113,382,59,Charcoal,Coprosma sp. Hebe sp. Podocarpus spicatus,Database,,Y
Northern,Q07/1284,Wk29070,170,30,Charcoal,Manuka,Johnson and Callaghan 2011,,Y
Northern,Q07/1284,Wk29071,135,30,Charcoal,Manuka,Johnson and Callaghan 2011,,Y
Northern,Q08/515,Wk20429,414,36,Charcoal,Short lived species,"Baquie et al., 2007",,Y
Northern,Q09/237,NZ6551,174,28,Charcoal,Leptospermum sp. [probably ericoides],Database,,Y
Northern,Q09/261,NZ6550,456,33,Charcoal,"Leptospermum sp., Pseudopanax sp., Coprosma sp.",Database,,Y
Northern,Q09/261,NZ6584,230,50,Charcoal,Ptenidium esculentum - dominant; Coriaria arborea - minor; Unidentified - trace,Database,,Y
Northern,Q09/262,NZ6512,106,41,Charcoal,Leptospermum scoparium,Database,,Y
Northern,Q09/429,NZ7581,339,48,Charcoal,Beilschmiedia tarairi,Database,,Y
Northern,Q10/32,ANU0761a,100,70,Wood,Unspecified (twigs),Database,,Y
Central,Q18/87,Wk9189,240,50,Charcoal,Short lived species,Talyor 2001,,Y
Central,Q19/352,Wk20585,189,39,Charcoal,"Mahoe, Hebe",Hawkins 2008a,,Y
Central,Q19/353,Wk20586,513,41,Charcoal,"Bracken, Pseudopanax, Horopito, Mahoe, Matai",Hawkins 2008a,,Y
Central,Q19/354,Wk20587,189,39,Charcoal,Bracken,Hawkins 2008a,,Y
Central,Q19/357,Wk20589,187,36,Charcoal,Hebe,Hawkins 2008a,,Y
Central,Q19/354,Wk20588,212,35,Charcoal,Bracken,Hawkins 2008a,,Y
Central,Q19/359,Wk20590,213,34,Charcoal,Hebe,Hawkins 2008a,,Y
Central,Q19/359,Wk20591,191,34,Charcoal,"Tutu, Hebe sp. (short lived)",Hawkins 2008a,,Y
Central,Q19/66,Wk30542,196,35,Charcoal,"Tutu, Hebe, Coprosma (short lived species)",Bader 2011,,Y
Central,Q22/77,NZ7778,475,46,Charcoal,"Melicytus ramiflorus, Pseudopanax arboreus",Database,,Y
Central,Q22/77,NZ7779,126,46,Charcoal,"Melicytus ramiflorus, Pseudopanax arboreus",Database,,Y
Central,Q22/77,NZ7780,481,46,Charcoal,Bracken (Pteridium aquilinum),Database,,Y
Central,Q22/77,NZ7811,299,29,Charcoal,Melicytus sp. Coprosma sp. Hebe sp.,Database,,Y
Central,Q22/78,NZ7813,538,34,Wood,"Maitai, Coprosma",Database,,Y
Central,Q27/36,NZA2182,413,90,Charcoal,"Coprosma sp. Olearia sp. Kunzea ericoides, Dysoxylum spectabile",Database,,Y
Northern,R09/887,Wk12919,409,33,Charcoal,Unspecified,"Bickler et al., 2003",,Y
Northern,R10/26,NZ4349,35,66,Charcoal,Pteridium aquilinum var. esculentum,Davidson 1972,,Y
Northern,R10/38,NZ1167,410,86,Charcoal,Unspecified (twigs),Database,,Y
Northern,R10/38,NZ1166,510,86,Charcoal,Unspecified (twigs),Database,,Y
Northern,R10/80,Wk20432,378,36,Charcoal,Short lived,Bickler et al 2008,,Y
Northern,R11/108,Wk2756,320,50,Charcoal,"Melicytus ramiflorus, Olearia sp., Pittosporum sp. [eugenioides?], Coprosma sp., Pseudopanax arboreus, Auicennia resinifera, Pseudopanax crassifolius",Young 2010,,Y
Northern,R11/108,Wk2757,360,50,Charcoal,"Olearia sp., Coprosma sp., Leptospermum scoparium, Metrosideros excelsa/Kunzea ericoides, Beilschmeidia tarairi",Young 2010,,Y
Northern,R11/1188,NZ7019,372,60,Charcoal,Myrsine australis,Baquie and Lawlor 1995/Database,,Y
Northern,R11/12,NZ8127,391,44,Charcoal,Melicytus ramiflorus,Database,,Y
Northern,R11/12,NZA0827,233,106,Charcoal,Melicytus ramiflorus,Database,,Y
Northern,R11/142,NZ5962,411,76,Charcoal,"Coprosma sp. - dominant; Metrosideros sp., Podoarpus sp. - minor",Database,,Y
Northern,R11/1436,Wk5057,590,50,Charcoal,Cyathean dealbata,Clough and Turner 1998,,Y
Northern,R11/1519,Wk1126,300,50,Charcoal,"Hebe sp., Myoporum laetum, Griselinia littoralis, Beilschmeidia tawa, Pseudopanax crassifolius, Nestigis sp., Prumnopitys taxifolia, unidentified fern",Frederickson and Visser 1989.,,Y
Northern,R11/19,NZ4471,305,56,Charcoal,"Coprosma sp. - 80%, Hebe sp. - 20%",Database,,Y
Northern,R11/19,NZ4472a,288,45,Charcoal,"Coprosma sp. - 46%, Leptospermum sp. [probably scoparium] - 42%, Hebe sp. - 12%",Database,,Y
Northern,R11/25,NZ5164,305,76,Charcoal,"Myoporum laetum, Melicytus sp. [probably ramiflorus] - codominant",Baquie and Lawlor 1995/Database,,Y
Northern,R11/25,NZ5165,333,56,Charcoal,Myoporum laetum - dominant; Melicytus sp. [probably ramiflorus] - minor,Baquie and Lawlor 1995/Database,,Y
Northern,R11/25,NZ5166,207,75,Charcoal,Myoporum laetum - dominant; Melicytus sp. [probably ramiflorus] - subdominant; Hebe sp. - trace,Baquie and Lawlor 1995/Database,,Y
Northern,R11/25,NZ5167,566,85,Charcoal,Leptospermum sp. [probably scoparium],Baquie and Lawlor 1995/Database,,Y
Northern,R11/25,NZ5170,352,56,Charcoal,Hebe sp. - dominant; Melicytus sp. [probably ramiflorus] - trace,Baquie and Lawlor 1995/Database,,Y
Northern,R11/32,NZ1888,727,156,Charcoal,"Dacrydium colensoi, Dysoxylum sp., Nightia excelsa, Beilschmiedia sp., Hedycarya arborea, Paratrophis microphylla, Melicytus ramiflorus, Plagianthus/Hoheria sp., Pteridium aquilium var. esculentum, unidentified hard and soft wood",Baquie and Lawlor 1995/Database,,Y
Northern,R11/330,Wk19194,419,32,Charcoal,Short lived,Phillips 2006,,Y
Northern,R11/602,WK2023,320,45,Charcoal,"twigs (Hebe sp. - 95%, unspecified - 5%)",Baquie and Lawlor 1995/Database,,Y
Northern,R11/602,Wk2024,330,45,Charcoal,"twigs (Hebe sp. - 90%, Pseudopanax sp. - 10%)",Baquie and Lawlor 1995/Database,,Y
Northern,R11/859,Wk27373,403,30,Charcoal,Coprosmas sp.,Campbell 2011,,Y
Northern,R11/859,Wk28701,426,35,Charcoal,Mangrove,Campbell 2011,,Y
Northern,R11/859,Wk28702,246,36,Charcoal,"Tutu, Hebe, coprosma manuka",Campbell 2011,,Y
Northern,R11/859,Wk28705,377,30,Charcoal,"Bracken, tutu, hebe",Campbell 2011,,Y
Northern,R11/898,Wk2030,340,45,Charcoal,Cyathea medullaris,Database,,Y
Northern,R14/55,Wk1899,560,4,Charcoal,"Pennantia corymbosa - dominant; shrub sp., unidentified",Database,,Y
Northern,R15/255,NZ6272,268,81,Charcoal,"Leptospermum scoparium - dominant; Lophomyrtus obaordata, Coprosma sp., unidentified - minor",Database,,Y
Northern,R15/255,NZ6273,322,81,Charcoal,"Leptospermum scoparium - dominant; Lophomyrtus obaordata, Coprosma sp., Pseudopanax sp. - minor",Database,,Y
Northern,R16/10,NZ5237,397,55,Charcoal,"Hebe sp., Coprosma sp., Leptospermum sp., Myoporum laetum , Melicytus sp.; Podocarpus totara/hallii - trace",Database,,Y
Central,R26/115,NZ2696,75,32,Charcoal,Pteridium esculentum,Database,,Y
Central,R26/141,NZ7887,556,71,Charcoal,"Kunzea ericoides, Melicytus ramiflorus Coprosma sp.",Database,,Y
Central,R26/141,NZ7888,588,72,Charcoal,"Schefflera digitata, Carpodetus serratus, Pseudopanax arboreus, Macropiper excelsa, Melicytus ramiflorus, Hoheria sp., Coprosma sp., Hebe sp., Olearia sp.",Database,,Y
Central,R26/141,NZ7890,556,89,Charcoal,"Macropiper excelsus, Coprosma sp., Pseudopanax arboreus, Olearia sp., Melicytus ramiflorus, Hebe sp., Pittosporum eugenoides",Database,,Y
Central,R26/141,NZ7891,434,65,Charcoal,"Coprosma sp., Olearis sp.",Database,,Y
Northern,S14/204,Wk2705,310,150,Charcoal,Beilschmeidia tawa - 6 pieces of twig and 10 pieces of tawa,Database,,Y
Northern,S14/222,Wk28967,329,30,Wood,Seeds,Hoffman 2011,,Y
Northern,S14/222,Wk28968,332,30,Wood,Seeds,Hoffman 2011,,Y
Northern,S15/18,NZ1125,286,83,Wood,Punga,Database,,Y
Northern,S15/66,Wk26296,223,33,Charcoal,Bracken (short lived),Mallows 2009c,,Y
Northern,S15/66,Wk26297,154,30,Charcoal,Olearia sp. (short lived),Mallows 2009c,,Y
Northern,S15/66,Wk26298,347,30,Charcoal,Supplejack (short lived),Mallows 2009c,,Y
Central,S24/26,NZ6267,456,55,Charcoal,"Shefflera digitata dominant; Vitex lucens, Podocarpus totara group minor",Database,,Y
Central,S26/3,NZ1057,747,59,Charcoal,Unspecified (twigs),Database,,Y
Central,S28/9,NZ1644,775,59,Charcoal,Unspecified (twigs),Database,,Y
Central,S28/9,NZ1645,777,59,Charcoal,Unspecified (twigs),Database,,Y
Northern,T10/944,Wk25353,455,30,Charcoal,Ngaio and pohutakawa twigs,Furey 2009,,Y
Northern,T10/944,Wk25354,149,30,Charcoal,"Ngaio, coprosmam, manuka five finger",Furey 2009,,Y
Northern,T11/326,NZ4950,300,45,Charcoal,"Melicytus ramiflorus, Hebe sp. - codominant; Agathis australis - subdominant; Pittosporum sp. - minor",Database,,Y
Northern,T11/326,NZ4951,556,61,Charcoal,"Pittosporum sp, Melicytus ramiflorus - codominant; Agathis australis - minor; Pseudopanax colensoi/arboreus group - rare",Database,,Y
Northern,T11/326,NZ4952,549,560,Charcoal,"Melicytus ramiflorus - dominant; Melicope sp., Hebe sp., Agathis australis, Podocarpus totara/hallii - codominant; unidentified dicot, Metrosideros sp. - minor",Database,,Y
Northern,T11/326,NZ4953,700,60,Charcoal,"Podocarpus totara/hallii - dominant; Melicope sp. - subdominant; Metrosideros sp., Agathis australis, Melicytus ramiflorus, Pseudopanax colensoi/arboreus, fern, unidentified dicot - minor",Database,,Y
Northern,T12/1243,Wk22531,273,33,Charcoal,Leptospermum scoparium,Mallows 2009,,Y
Northern,T12/192,NZ4179,277,40,Charcoal,Bracken,Best 1980/Database,Schmidt (J),Y
