PhaseID,C14Age,C14SD,LabID
CHaIII,8543,66,HU-12
BE,8546,100,P-1379
BE,8550,160,K-1085
NR,8550,60,Pta-3202
AsII,8560,110,GIF-2373
AAN,8565,55,A-11804
AGM,8570,180,AA-1167
AH2A,8570,130,OxA-879
GD-E,8570,210,SI-922
HAII,8570,440,UBAR-394
N,8570,150,Gd-6113
Y,8570,130,RT-736a
CHaIII,8584,65,HU-11
GD,8590,70,SI-4732
Gri,8600,150,GrN-15253
Nhe,8600,120,OxA-1014
WSh,8600,100,Beta-35081/WS-2
AsII,8602,51,LY-11386
AAN,8610,95,A-11806
Gri,8610,90,Beta-13216
JEII,8610,75,P-380
AGM,8620,320,UCR-1721
NDv,8620,140,I-5501
NR,8620,60,Pta-3137
AAN,8625,85,A-11802
GD-E,8625,195,SI-923
G1,8627,46,Hd-17220-17550
N,8630,70,Gd-5111
AH2A,8640,110,OxA-2169
AH2A,8640,100,BM-1722R
BE,8640,160,K-1083
BE,8640,50,GrN-5063
GD-E,8640,90,SI-924
AGM,8650,200,GrN-12970
AsII,8650,55,GrN-6676
GD,8650,70,SI-4737
TA,8650,120,MC-865
TeS,8650,50,GrN-9833
HAII,8655,75,Beta-50856
PSII,8655,65,Lyon-291
TAH,8655,240,GX-6359
JEII,8658,101,P-381
G1,8659,178,DRI-3254
AGM,8660,80,OxA-1472
JEII,8660,260,BM-1771
JEII,8660,130,BM-1793
TAH,8665,195,GX-6355
AH2B,8666,66,BM-1120
NR,8670,60,Pta-2848
WSh,8670,210,Beta-35082/WS-3
TAH2,8676,72,BM-1423
AGM,8680,190,GrN-12962
JEII,8680,70,BM-1770
WJ26,8690,110,OxA-1802
AGM,8700,80,OxA-1473
AH2,8700,240,OxA-6995
Asb,8700,100,UCLA-1714C
Gri,8700,150,GrN-15246
HAI,8700,60,Beta-85928
JEII,8700,110,BM-1769
N,8700,110,Gd-4207
BE,8710,130,K-1082
GhI,8710,190,GIF-3376
JEII,8710,150,BM-253
BE,8715,100,P-1378
AsII,8720,75,GrN-6677
BE,8720,150,K-1412
GD,8720,50,B-108241
WJ26,8720,100,OxA-2407
Y,8720,70,Pta-4245
PSII,8725,100,Lyon-6
BE,8730,160,K-1084
JEII,8730,80,BM-1773
WJ26,8740,110,OxA-2969
AkTV,8750,40,Beta-138584
N,8750,80,Gd-5422
G1,8754,52,DRI-3256
G1,8755,311,DRI-3253
AK-AK,8760,150,UGa294
AK-MJ,8760,165,UGa296
PSII,8760,80,Lyon-289
WShC,8760,280,Beta-35083/WS-5&8
BE,8765,102,P-1381
BE,8770,150,K-1411
GD,8780,50,B-108238
GD,8780,50,B-108240
JEII,8785,100,GrN-963
BE,8790,200,BM-111
Gri,8790,150,GrN-15251
CAIc,8795,50,GrN-6242
G1,8806,52,DRI-3251
AGM,8810,80,GrN-12969
BE,8810,50,GrN-5136
