Region,Site Name,SiteID,Assemblage,LabID,C14Age,C14SD,Delta 13,Material,MaterialID,Source,NZTM N,NZTM E,Longitude,Latitude
Northern,Pouerua,P05/0,"Area 1, layer3 sample from scoop",NZ7247,250,50,-25.7,Charcoal,"Hebe sp. - 80%, Brachyglotis responda - 20%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Kaikohe,P05/0,Area ISample from the base of pit structure,NZ7450,230,64,-25.3,Charcoal,Pteridium aquilinium var. esculentum 99% - Vitex lucens 1 %,NZRD,6084087,1685504,173.9414055,-35.38289707
Northern,Pouerua,P05/195,"Area IIIQuad 2, Feature 2",NZ7341,250,50,-25.8,Charcoal,"Myrsine sp., Olearia sp., carbonised seeds sp.",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/195,"Area IIIQuad 3, Layer 4",NZ7333,380,60,-26.6,Charcoal,"Cyathodes fasciculata, Hoheria sp., Dysoxylum spectible, Leptospermum sp.",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/195,Layer 6 - occupation horizon 2,NZ7322,390,55,-27.5,Charcoal,"Myrsine sp. - 50%, Schefflera digitata - 30%, Coprosma sp. - 10%, unidentified shrub - 10%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/195,"Rim of Pouerua cone, feature 7",NZ7312,260,55,-27.9,Charcoal,"Schefflera digitata - 80%, Dysoxylum spectible - 5%, Beilschmiedia tawa - 10%, Coprosma sp. - 5%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/195,"Area IIQuad D, base of occupation",NZ7310,300,55,-26.6,Charcoal,"Schefflera digitata - 60%, Brachyglottis repanda - 15%, Coprosma sp. - 10%, Hebe sp. - 5%, Dysoxylum spectible - 5%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/195,"Layer 2, lens A",NZ7255,250,50,-26.9,Charcoal,"Hebe sp., Myrsine divaricata - co-dominant",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,"Pouerua, Gardens",P05/195,Area ASample from the base of garden soil,NZ7251,430,60,-26.4,Charcoal,"Schefflera digitata - 60%, Olearia sp., Litsea calicaris, Hebe sp., Vitex lucens, Dysoxylum spectabile, unidentifiable shrub",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,"Pouerua, Gardens",P05/195,Area AGarden soil - layer 3,NZ7249,250,50,-26.9,Charcoal,"Hebe sp. - 75%, Myrsine sp. [probably australis] - 20%, Leptospermum scoparium - 5%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/195,Layer 3 - sample from oven cut into layer 4,NZ6999,270,50,-26.4,Charcoal,"Geniostoma ligustrifolium - 55%, Broadleaf shrub - 40%, Dacrydium cupressinum/ Podocarpus totara/hallii gp. - 5%",NZRD,6085084,1684602,173.9313723,-35.3739854
Northern,Pouerua,P05/195,Last occupation of terrace,NZ6980,225,36,-26.7,Charcoal,"Hebe sp. - 85%, Brachyglottis repanda - 15%, Coprosma sp., Olearia sp., Hoheria sp.",NZRD,6085084,1684602,173.9313723,-35.3739854
